episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleFlat-thesis-v0,PPO,2001,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleFlat-thesis-v0,PPO,4002,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
3,attacker,CyberBattleFlat-thesis-v0,PPO,6003,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
4,attacker,CyberBattleFlat-thesis-v0,PPO,8004,156.885,2001,0,2001,0,-1,0,3,0.8850000000000006,45.0,,,,,,,,,
5,attacker,CyberBattleFlat-thesis-v0,PPO,10005,101.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
6,attacker,CyberBattleFlat-thesis-v0,PPO,12006,130.12,2001,0,2001,0,-1,0,2,0.12,15.0,,,,,,,,,
7,attacker,CyberBattleFlat-thesis-v0,PPO,14007,110.165,2001,0,2001,0,-1,0,2,0.16500000000000004,15.0,,,,,,,,,
8,attacker,CyberBattleFlat-thesis-v0,PPO,16008,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
9,attacker,CyberBattleFlat-thesis-v0,PPO,18009,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
10,attacker,CyberBattleFlat-thesis-v0,PPO,20010,91.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
11,attacker,CyberBattleFlat-thesis-v0,PPO,22011,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
12,attacker,CyberBattleFlat-thesis-v0,PPO,24012,101.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
13,attacker,CyberBattleFlat-thesis-v0,PPO,26013,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
14,attacker,CyberBattleFlat-thesis-v0,PPO,28014,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
15,attacker,CyberBattleFlat-thesis-v0,PPO,30015,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleFlat-thesis-v0,PPO,32016,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleFlat-thesis-v0,PPO,34017,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
18,attacker,CyberBattleFlat-thesis-v0,PPO,36018,130.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
19,attacker,CyberBattleFlat-thesis-v0,PPO,38019,172.135,2001,0,2001,0,-1,0,4,2.1349999999999985,55.0,,,,,,,,,
20,attacker,CyberBattleFlat-thesis-v0,PPO,40020,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
21,attacker,CyberBattleFlat-thesis-v0,PPO,42021,101.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
22,attacker,CyberBattleFlat-thesis-v0,PPO,44022,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
23,attacker,CyberBattleFlat-thesis-v0,PPO,46023,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
24,attacker,CyberBattleFlat-thesis-v0,PPO,48024,91.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleFlat-thesis-v0,PPO,50025,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
26,attacker,CyberBattleFlat-thesis-v0,PPO,52026,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
27,attacker,CyberBattleFlat-thesis-v0,PPO,54027,132.105,2001,0,2001,0,-1,0,2,0.105,15.0,,,,,,,,,
28,attacker,CyberBattleFlat-thesis-v0,PPO,56028,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
29,attacker,CyberBattleFlat-thesis-v0,PPO,58029,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
30,attacker,CyberBattleFlat-thesis-v0,PPO,60030,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
31,attacker,CyberBattleFlat-thesis-v0,PPO,62031,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
32,attacker,CyberBattleFlat-thesis-v0,PPO,64032,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
33,attacker,CyberBattleFlat-thesis-v0,PPO,66033,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
34,attacker,CyberBattleFlat-thesis-v0,PPO,68034,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
35,attacker,CyberBattleFlat-thesis-v0,PPO,70035,91.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
36,attacker,CyberBattleFlat-thesis-v0,PPO,72036,91.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
37,attacker,CyberBattleFlat-thesis-v0,PPO,74037,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
38,attacker,CyberBattleFlat-thesis-v0,PPO,76038,101.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
39,attacker,CyberBattleFlat-thesis-v0,PPO,78039,101.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
40,attacker,CyberBattleFlat-thesis-v0,PPO,80040,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
41,attacker,CyberBattleFlat-thesis-v0,PPO,82041,100.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
42,attacker,CyberBattleFlat-thesis-v0,PPO,84042,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
43,attacker,CyberBattleFlat-thesis-v0,PPO,86043,101.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
44,attacker,CyberBattleFlat-thesis-v0,PPO,88044,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
45,attacker,CyberBattleFlat-thesis-v0,PPO,90045,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
46,attacker,CyberBattleFlat-thesis-v0,PPO,92046,110.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
