episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
1,attacker,CyberBattleHubSpoke-thesis-v0,PPO,2001,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
2,attacker,CyberBattleHubSpoke-thesis-v0,PPO,4002,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
3,attacker,CyberBattleHubSpoke-thesis-v0,PPO,6003,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
4,attacker,CyberBattleHubSpoke-thesis-v0,PPO,8004,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
5,attacker,CyberBattleHubSpoke-thesis-v0,PPO,10005,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
6,attacker,CyberBattleHubSpoke-thesis-v0,PPO,12006,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
7,attacker,CyberBattleHubSpoke-thesis-v0,PPO,14007,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
8,attacker,CyberBattleHubSpoke-thesis-v0,PPO,16008,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
9,attacker,CyberBattleHubSpoke-thesis-v0,PPO,18009,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
10,attacker,CyberBattleHubSpoke-thesis-v0,PPO,20010,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
11,attacker,CyberBattleHubSpoke-thesis-v0,PPO,22011,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
12,attacker,CyberBattleHubSpoke-thesis-v0,PPO,24012,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
13,attacker,CyberBattleHubSpoke-thesis-v0,PPO,26013,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
14,attacker,CyberBattleHubSpoke-thesis-v0,PPO,28014,57.71,2001,0,2001,0,-1,0,2,1.7099999999999962,15.0,,,,,,,,,
15,attacker,CyberBattleHubSpoke-thesis-v0,PPO,30015,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
16,attacker,CyberBattleHubSpoke-thesis-v0,PPO,32016,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
17,attacker,CyberBattleHubSpoke-thesis-v0,PPO,34017,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
18,attacker,CyberBattleHubSpoke-thesis-v0,PPO,36018,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
19,attacker,CyberBattleHubSpoke-thesis-v0,PPO,38019,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
20,attacker,CyberBattleHubSpoke-thesis-v0,PPO,40020,30.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
21,attacker,CyberBattleHubSpoke-thesis-v0,PPO,42021,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
22,attacker,CyberBattleHubSpoke-thesis-v0,PPO,44022,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
23,attacker,CyberBattleHubSpoke-thesis-v0,PPO,46023,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
24,attacker,CyberBattleHubSpoke-thesis-v0,PPO,48024,36.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
25,attacker,CyberBattleHubSpoke-thesis-v0,PPO,50025,14.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
26,attacker,CyberBattleHubSpoke-thesis-v0,PPO,52026,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
27,attacker,CyberBattleHubSpoke-thesis-v0,PPO,54027,24.0,2001,0,2001,0,-1,0,1,0.0,0.0,,,,,,,,,
